Date,Price,Open,High,Low,Vol.,Change
2021-10-31,4287.56,4322,4393.61,4169.48,555.32,-0.01
2021-11-01,4320.85,4287.41,4376.94,4157.51,574.26,0.01
2021-11-02,4586.06,4320.85,4598.38,4287.36,630.26,0.06
2021-11-03,4602.21,4586.96,4661.88,4458.87,634.68,0
2021-11-04,4535.11,4601.93,4604.83,4421.87,495.86,-0.01
2021-11-05,4475,4534.96,4569.31,4439.67,409.75,-0.01
2021-11-06,4517.36,4475,4526.75,4330.29,442.6,0.01
2021-11-07,4612.06,4517.27,4634.39,4502.7,337.81,0.02
2021-11-08,4808.38,4612.05,4822.97,4612.05,673.21,0.04
2021-11-09,4731.83,4808.34,4836.69,4715.43,437.41,-0.02
2021-11-10,4634.03,4731.83,4864.06,4498.78,761.9,-0.02
2021-11-11,4720.87,4633.98,4778.17,4578.66,418.61,0.02
2021-11-12,4667.31,4720.5,4807.16,4511.96,634.59,-0.01
2021-11-13,4644.61,4665.76,4705.02,4585.37,290.27,0
2021-11-14,4625.59,4644.4,4692.76,4514.95,340.96,0
2021-11-15,4562.98,4625.71,4769.38,4543.47,495.96,-0.01
2021-11-16,4208.16,4562.97,4562.97,4115.31,1.12,-0.08
2021-11-17,4290.88,4208.29,4298.3,4071.01,664.94,0.02
2021-11-18,4001.87,4290.31,4342.74,3958.44,792.38,-0.07
2021-11-19,4295.43,3996.29,4305.41,3978.08,571.96,0.07
2021-11-20,4408.85,4295.27,4434.27,4206.75,462.99,0.03
2021-11-21,4268.08,4409.02,4422.6,4246.2,446.23,-0.03
2021-11-22,4086.95,4268.07,4311.46,4026.75,717.08,-0.04
2021-11-23,4340.23,4086.73,4384.75,4064.17,684.35,0.06
2021-11-24,4273.54,4340.23,4372.83,4172.19,595.96,-0.02
2021-11-25,4520.3,4270.73,4549.74,4248.9,578.65,0.06
2021-11-26,4034.53,4520.3,4548.1,3917.43,1,-0.11
2021-11-27,4094.8,4037.06,4183.02,4029.06,370.73,0.01
2021-11-28,4296.98,4095.16,4297.63,3980.24,487.53,0.05
2021-11-29,4443.22,4296.98,4456.82,4280.18,532.66,0.03
2021-11-30,4628.9,4443.22,4749.12,4349.21,973.46,0.04
2021-12-01,4583.28,4628.72,4778.14,4525.33,669.18,-0.01
2021-12-02,4512.9,4583.28,4629.75,4437.53,608.07,-0.02
2021-12-03,4219.3,4512.9,4646.73,4047.07,942.77,-0.07
2021-12-04,4123.46,4219.3,4237.56,3533.02,1.52,-0.02
2021-12-05,4194.8,4118.27,4247.38,4036,707.69,0.02
2021-12-06,4353.31,4194.95,4373.23,3922.65,993.79,0.04
2021-12-07,4307.08,4351.36,4424.2,4259.45,550.78,-0.01
2021-12-08,4435.74,4307.08,4449.69,4229.63,574.33,0.03
2021-12-09,4107.69,4435.74,4482.89,4078.14,642.17,-0.07
2021-12-10,3903.48,4107.2,4226.79,3894.03,798.12,-0.05
2021-12-11,4075.66,3903.52,4094.92,3836.92,581.26,0.04
2021-12-12,4131.78,4078.17,4173.21,3988.29,360.45,0.01
2021-12-13,3781.94,4131.47,4141.27,3673.19,891.67,-0.08
2021-12-14,3861.55,3782.12,3879.43,3690.06,577.61,0.02
2021-12-15,4019.24,3860.51,4090.15,3649.69,821.22,0.04
2021-12-16,3956.62,4019.57,4108.24,3955.46,512.12,-0.02
2021-12-17,3878.29,3957.12,3993.87,3702.33,654.9,-0.02
2021-12-18,3959.83,3878.2,3993.05,3769.91,475.86,0.02
2021-12-19,3925.34,3959.9,4025.36,3890.9,442.49,-0.01
2021-12-20,3938.8,3925.46,3978.66,3757.42,531.11,0
2021-12-21,4016.59,3944.03,4058.76,3915.56,496.71,0.02
2021-12-22,3979.54,4016.25,4072.4,3944.15,426.43,-0.01
2021-12-23,4110.14,3979.57,4149.17,3895.89,573.18,0.03
2021-12-24,4043.39,4110.2,4133.77,4024.24,353.85,-0.02
2021-12-25,4093.14,4043.6,4136.03,4024.87,308.53,0.01
2021-12-26,4061.27,4093.38,4104.23,4005.38,283.58,-0.01
2021-12-27,4036.24,4062.02,4125.22,4033.04,313.32,-0.01
2021-12-28,3791.69,4036.86,4036.86,3760.86,527.23,-0.06
2021-12-29,3627.93,3792.95,3825.97,3607.2,456.03,-0.04
2021-12-30,3709.57,3629.33,3767.93,3589.64,355.72,0.02
2021-12-31,3677.85,3709.38,3812.01,3623.74,405.65,-0.01
2022-01-01,3765.67,3677.69,3775.2,3675.75,239.54,0.02
2022-01-02,3830.67,3765.67,3851.16,3718.33,242.55,0.02
2022-01-03,3764.24,3830.7,3849.5,3682.48,338.51,-0.02
